gsr_max,gsr_min,min_ra,max_ra,gsr_mean,gsr_sd,gsr_var,ecg_avg,ecg_median,ecg_sd,fear,angry,happy,sad,class
4.76,3.78,0.794,1.259,4.246,0.305,0.093,2.109510521,1.577193,1.910298245,4,1,1,5,1
5.35,3.78,0.707,1.415,4.423,0.423,0.179,2.406636175,1.703938,2.193645195,1,1,5,1,0
5.25,3.59,0.684,1.462,4.126,0.457,0.208,2.023387738,1.621917,1.833677697,5,1,1,4,3
6.81,3.78,0.555,1.802,4.774,0.434,0.188,2.469881489,1.769845,2.157652553,1,1,1,5,1
5.74,4.27,0.744,1.344,4.674,0.373,0.139,1.771212406,1.6117565,0.957675696,3,5,1,2,2
5.84,3.78,0.647,1.545,4.293,0.371,0.138,2.097277676,1.6691005,1.639713322,2,1,1,4,1
7.11,4.47,0.629,1.591,5.334,0.522,0.272,2.135383065,1.675419,1.587750537,1,2,5,2,0
7.5,5.54,0.739,1.354,6.062,0.353,0.124,3.376576946,2.738492,2.657548838,1,1,5,1,0
6.52,4.37,0.67,1.492,4.963,0.505,0.255,2.806119632,1.9702915,2.407708167,2,3,1,4,1
6.32,5.35,0.847,1.181,5.913,0.26,0.068,0.89486594,0.823436,0.335510117,3,1,3,3,3
8.96,5.74,0.641,1.561,7.018,0.711,0.505,0.817660447,0.782411,0.337564408,1,1,2,3,1
9.16,6.72,0.734,1.363,7.68,0.592,0.35,0.879192525,0.794739,0.418566184,1,1,4,2,0
9.35,8.18,0.875,1.143,8.661,0.384,0.147,0.795601421,0.766236,0.453026229,4,2,1,5,1
11.7,7.4,0.632,1.581,8.83,0.982,0.965,0.853022435,0.788703,0.412670394,3,3,1,4,2
10.33,7.2,0.697,1.435,8.119,0.558,0.312,0.88995821,0.794849,0.399808461,3,4,1,4,2
11.31,7.79,0.689,1.452,9.082,0.687,0.472,0.839028083,0.7784945,0.452973162,4,2,1,3,3
12.58,7.99,0.635,1.574,9.942,0.774,0.599,0.918660641,0.823366,0.439334193,1,3,1,4,2
12.39,9.26,0.747,1.338,10.452,0.711,0.505,0.917425659,0.774181,0.488283677,1,3,1,3,2
11.51,8.28,0.719,1.39,9.367,0.635,0.403,0.895726807,0.7948105,0.447134611,4,1,3,4,1
11.9,7.99,0.671,1.489,9.055,0.965,0.932,0.882388883,0.778582,0.494177436,1,1,4,4,0
13.46,8.57,0.637,1.571,10.086,0.862,0.743,0.883673416,0.794753,0.477088061,3,1,1,4,3
12.97,9.06,0.699,1.432,10.275,0.703,0.495,0.830490369,0.8076335,0.348139253,3,1,1,5,1
12.58,9.06,0.72,1.389,9.9,0.728,0.529,0.922318693,0.766103,0.486819363,3,3,1,4,2
13.07,8.87,0.679,1.474,10.691,0.94,0.883,0.861940287,0.8071135,0.372624077,3,1,1,5,1
13.75,8.38,0.609,1.641,9.612,0.922,0.849,0.83017489,0.79472,0.366814595,1,1,3,1,0
15.71,9.55,0.608,1.645,11.236,1.171,1.371,0.718671689,0.782577,0.390491288,1,1,5,1,0
16,8.08,0.505,1.98,10.147,1.396,1.948,0.762601936,0.810898,0.364648041,3,4,1,4,1
3.29,2.51,0.763,1.311,2.798,0.191,0.036,0.930027891,0.8232965,0.479210017,4,1,1,5,3
4.08,2.71,0.664,1.506,3.229,0.366,0.134,3.542570033,0.950501,8.880390715,1,1,3,5,1
6.03,3.78,0.627,1.595,4.545,0.554,0.307,0.905499592,0.8234305,0.307659685,1,1,5,1,0
5.64,4.86,0.862,1.16,5.137,0.228,0.052,0.8026999,0.852022,0.421316296,5,1,2,5,1
6.32,4.27,0.676,1.48,5.043,0.483,0.233,0.982861913,0.810898,0.695877514,1,4,1,1,2
7.11,4.66,0.655,1.526,5.434,0.508,0.258,0.918400968,0.8234145,0.611180011,1,5,1,4,2
7.79,4.96,0.637,1.571,6.484,0.47,0.221,0.920940799,0.8645515,0.294434272,4,1,1,4,3
8.08,5.93,0.734,1.363,6.804,0.434,0.188,0.928403851,0.868311,0.257357232,1,2,1,1,2
9.94,8.87,0.892,1.121,9.263,0.269,0.072,1.184035056,0.8931535,0.809962614,1,1,1,4,1
9.75,3.1,0.318,3.145,7.228,2.311,5.339,4.292145231,2.498716,3.629350438,5,1,1,4,3
10.04,2.61,0.26,3.847,6.627,2.149,4.62,1.499406782,0.921713,1.272797957,1,1,2,5,1
11.11,2.51,0.226,4.426,7.052,2.541,6.456,1.487926722,0.9216295,1.050064982,1,1,5,1,0
9.84,2.71,0.275,3.631,7.446,2.749,7.559,1.0568982,0.893007,0.455836194,4,3,1,5,1
11.7,2.9,0.248,4.034,7.549,2.627,6.902,1.105524564,0.868224,0.568672116,1,5,1,3,2
3.98,3.2,0.804,1.244,3.509,0.232,0.054,1.119260341,0.9052595,0.547930707,4,4,1,4,2
4.86,3.59,0.739,1.354,4.068,0.286,0.082,1.445679381,0.962436,1.176585376,5,1,1,4,3
13.66,3.49,0.255,3.914,8.22,2.772,7.684,1.72185621,1.0055205,1.12325551,2,5,1,3,2
4.37,3.88,0.888,1.126,4.126,0.129,0.017,2.299086059,1.7021035,1.76174843,2,5,1,3,2
4.76,3.78,0.794,1.259,4.246,0.305,0.093,2.109510521,1.577193,1.910298245,4,1,1,5,1
5.35,3.78,0.707,1.415,4.423,0.423,0.179,2.406636175,1.703938,2.193645195,1,1,5,1,0
5.25,3.59,0.684,1.462,4.126,0.457,0.208,2.023387738,1.621917,1.833677697,5,1,1,4,3
6.81,3.78,0.555,1.802,4.774,0.434,0.188,2.469881489,1.769845,2.157652553,1,1,1,5,1
5.74,4.27,0.744,1.344,4.674,0.373,0.139,1.771212406,1.6117565,0.957675696,3,5,1,2,2
5.84,3.78,0.647,1.545,4.293,0.371,0.138,2.097277676,1.6691005,1.639713322,2,1,1,4,1
7.11,4.47,0.629,1.591,5.334,0.522,0.272,2.135383065,1.675419,1.587750537,1,2,5,2,0
7.5,5.54,0.739,1.354,6.062,0.353,0.124,3.376576946,2.738492,2.657548838,1,1,5,1,0
6.52,4.37,0.67,1.492,4.963,0.505,0.255,2.806119632,1.9702915,2.407708167,2,3,1,4,1
14.24,7.6,0.534,1.874,9.789,1.528,2.336,0.761843112,0.798544,0.323994097,1,1,5,2,0
15.02,6.23,0.415,2.411,8.932,1.735,3.011,0.763611577,0.8111,0.237660176,1,1,5,1,0
15.22,6.73,0.512,1.811,9.762,1.535,2.411,0.798646762,0.8645385,0.249654655,1,3,1,4,1
9.65,7.5,0.777,1.287,8.396,0.569,0.323,0.930027891,0.8232965,0.479210017,3,2,1,2,3
10.04,6.91,0.688,1.453,7.763,0.653,0.426,3.542570033,0.950501,8.880390715,1,1,1,5,1
11.11,7.3,0.657,1.522,8.502,0.862,0.743,0.905499592,0.8234305,0.307659685,1,1,4,1,0
9.45,7.89,0.835,1.198,8.925,0.415,0.172,0.893933889,0.80899,0.460317919,2,2,1,4,1
11.7,7.6,0.65,1.539,9.147,1.205,1.453,0.888475681,0.7946955,0.325274902,2,5,1,2,2
9.55,7.89,0.826,1.21,8.411,0.406,0.165,0.077918688,0.044682,0.136907463,2,4,1,4,2
10.33,8.28,0.802,1.248,8.911,0.375,0.141,0.348636128,0.13928,3.236177435,4,1,1,1,3
13.66,7.89,0.578,1.731,9.912,1.654,2.737,0.112752855,0.139253,0.047821368,2,5,1,2,2
9.94,8.28,0.833,1.2,8.658,0.338,0.115,0.139960252,0.139295,0.061334842,2,5,1,3,2
10.33,8.67,0.839,1.191,9.146,0.434,0.189,0.131578792,0.139277,0.059602959,2,2,1,4,1
10.43,8.28,0.794,1.26,9.12,0.471,0.221,0.525779618,0.139604,0.59617864,1,1,4,3,0
10.63,8.67,0.816,1.226,9.412,0.319,0.102,0.060686435,0.044749,0.02781406,5,2,1,3,3
10.43,8.28,0.794,1.26,8.773,0.398,0.158,0.353476712,0.053468,1.039796508,1,2,1,5,1
11.6,8.87,0.765,1.308,9.844,0.727,0.528,0.052149333,0.044466,0.019262868,2,5,1,1,2
